ID,Feed,Sentiment
1251,??? ?????? ?????? ????? ???????? ?????? ??????? ????? ?????? ????? ???? ????? ??????? ??????. ????? ???? ???? ?????? ???????.,Positive
1252,??? ?????? ??? ?? ?????? ???? ????? ????? ??? ?????? ??????,Positive
1253,???? ?????? ??? ????? ??????? ??? ???? ???? ??? ?? ?????? ???? ?????? ???? ?????? ???? ????? ?? ????? ,Positive
1254,??? ???? ????????? ?? ?????? ??????,Negative
1255,????? ???? ???? ???? ?????? ???? ????????,Negative
1256,??? ????????? ?????? ??????? ???? ?????? ?????? ???????? ??????? ???????? ??? ???? ????? ?????,Negative
1257,??? ????? ?? ????? ???.. ???? ?? ???? ??? ????? ??? ???? ???? ??? ????? .???? ??? ???? ?? ?????? ,Negative
1258,?? ??? ??? ????,Positive
1259,??? ????? ???? ... ?? ???? ??? ?????? ???? ???? ??? ??? ???? ??? ???,Positive
1260,??? ????? ??? ???? ???? ?? ?????? ?????? ?? ?????? ?????? ??????? ?? ????? ????? ????? ??? ??? ??? ??? ?????????? ?????? ????,Negative
1261,??? ??? ???????? ?????? ?????? ???? ??????? ???,Negative
1262,????? ?????? ????? ?? ??????? ???? ????? ????? ??? ??? ???? ????? ??? ??? ??????? ??????????,Negative
1263,????? ????? ????? ?? ??????? ?????? ???? ??????? ?????????? ???? ?????? ?? ????? ????? ????? ???? ???? ?????? ????? ????? ??? ????? ???? ?????? ???? ?????? ?????? ??? ?? ????? ??? ???? ?????? ???? ???? ?? ??? ?????? ?????? ????? ?????? ?? ??????? ??? ???? ??? ?????? ???????? ????? ??????? ???? ???? ?????? ???????? ???????? ???????? ??????? ?????? ?? ???? ?? ???????? ???? ????,Negative
1264,????? ??? ?? ????? ?????? ???? ?????? ?? ????? ?? ????? ??? ??????? ? ??????? ??????? ??? ????,Negative
1265,???????? ?????? ??? ???? ???? ????,Negative
1266,??? ???? ???? ?????,Negative
1267,???? ???? ??? ????? ??? ?????? ?????? ?? ??,Positive
1268,???? ???? ???? ???? ??? ???? ??? ?? ??? ?????? ??? ???,Positive
1269,???? ???? ??? ???? ????? ????? ?? ?????? ??????? ????? ??? ????? ????? ????? ????? ???????,Negative
1270,??? ?????? ??????? ??? ?????? ??????? ??? ???? ?????? ??????? ???? ????? ??? ?????? ??????? ??????? ?? ????? ????? ???? ??? ???? ?? ???????? ?????? ??????? ?????? ??? ?????? ???? ????? ?????? ????? ?? ??????? ????? ??? ??? ??? ??????? ??? ?????? ??? ????? ????? ?? ?????? ???? ??????? ?????? ??? ????? ???? ????? ?? ???? ??? ??????? ?? ??????? ????? ???? ?????? ?? ?????? ??? ???? ????? ???? ???? ????? ????? ??????? ???????? ???? ???????? ???? ???? ?? ????? ????????? ??? ?????? ??????? ???? ???? ?????? ????? ???? ???? ????? ???? ?????? ???? ????? ????? ?? ??? ????????? ??? ??????? ?????? ????? ????? ????? ???? ??? ???? ???? ????? ????? ??????,Negative
1271,??? ??? ???? ??? ??????,Negative
1272,??? ???? ???? ?????????? ???? ?? ???? ???? ????? ?????? ??? ???? ?????? ??????,Negative
1273,?? ???? ??? ??? ?????? ????? ?????,Positive
1274,?? ???? ??? ??????? ???? ????? ????? ???? ??? ??????? ? ??????? ??????? ? ????? ?? ??? ?????? ???? ????? ????? ? ????? ?? ??? ?????? ???? ????? ???????,Positive
1275,?????? ???? ?? ?? ????? ???? ????? ????? ?? ???? ??????? ????? ????? ????? ???? ?? ?????? ?? ??? ????: ???? ???? ????? ??? ???? ???????? ???? ??????????? ??? ??? ???? ???? ???? ????? ????? ???????  ?????: ???? ????? ??????? ????? ??????? ?????? ????? ??? ???? ???? ?????? ??? ????? ????? ?? ???? ?? ????? ?????? ??????? ?????: ??? ?? ?????? ?????? ?? ????? ?? ?????? ???? ???? ?????? ??????? ??????? ?????:?? ?? ????????? ????? ?????? ?????? ??? ????? ????? ????? ?????? ????? ???? ????? ?????? ?????? ??? ??? ???? ?????? ?? ????? ?????? ???? ????? ??? ??????? ???? ?? ????? ??????? ?????? ??????? ?? ?????? ??????? ?? ???? ?????? ???? ????? ??? ????? ?? ?????? ??? ????? ???? ??????,Negative
1276,??? ???? ?? ??????? ?? ????? ????????????,Negative
1277,??? ???? ????? ????? ?? ????? ??? ?? ????,Negative
1278,?? ????? ??????? ?? ???? ?????? ??????  ????? ?????? ? ???? ?? ????? ?????? ???? ??? ???? ?????? ?????? ?????? ???? ??? ??? ?? ????? ?? ????,Positive
1279,?? ?? ?? ????? ???? ???? ??? ????? ??? ???? ??????? ???? ????,Negative
1280,?? ???? ?? ???? ????? ?????? ??? ?????? ?????? ??? ???? ????? ????? ???? ?? ????,Negative
1281,?? ????? ?? ?????? ??? ?????,Negative
1282,?? ???? ????????? ??? ????? ???? ?? ??? ???,Negative
1283,?? ??? ???? ????? .. ????? ????? ?????? ?? ??? ????,Positive
1284,?? ???? ?????? ??? ???? ??????,Positive
1285,?? ????? ???? ????????? ???? ????? ????? ??? ??????? ???? ?????,Negative
1286,?? ???? ?? ?????? ??? ?? ?????? ???? ??????? ?????? ??????? ????? ???? ?????? ????? ??????,Positive
1287,?? ???? ?????  ????? ????? ????,Negative
1288,???? ???? ??????? ???? ???? ???????? ???? ?????? ??? ?????? ???? ???? ???? ???? ?? ????????,Negative
1289,?? ????? ??????? ??????? ??? ???? ????? ????? ????? ?????? ???????? ?? ???? ???? ????? ????? ??? ?????? ??????? ????,Negative
1290,??? ??? ???????? ????? ??? ?????? ,Negative
1291,??? ?? ???? ????? ?????,Positive
1292,????? ?????? ????????? ?? ??????? ???????,Positive
1293,??? ???? ??? ???? ?? ???? ????? ????,Negative
1294,??? ?????? ????? ????? ????? ????? ??????? ???? ?? ????? ??? ???? ???????,Negative
1295,??? ?????? ?? ???,Negative
1296,??? ?? ????? ?? ??? ??? ?? ???????  ??????  ??????? ???? ?????? ?? ???? ??????? ????? ??????? ?????? ???????,Negative
1297,??? ??????? ??? ??? ??? ???? ???????? ????? ??? ??????? ???????,Negative
1298,??? ???? ?? ?????,Negative
1299,??? ??? ?????? ??? ???????,Negative
1300,??? ???? ????? ??? ????? ?? ??? ?? ???? ??? ??????? ?????? ???? ?? ??? ?????,Negative
1301,?? ???? ??? ?? ?????,Negative
1302,?? ???? ??????,Positive
1303,?? ???? ?????? ???? ????,Positive
1304,?? ???? ????? ???????,Positive
1305,?? ???? ?????? ??????? ?? ?????,Positive
1306,?? ???? ??????,Positive
1307,?? ???? ????? ????????,Positive
1308,?? ???? ?? ??? ??? ????? ?????? ?????,Negative
1309,?? ?????? ???? ???? ????,Positive
1310,?? ???? ???????? ????? ?????? ????? ????,Negative
1311,?? ???? ?????? ???? ????,Positive
1312,?? ????? ?? ??? ????? ?????? ?? ????? ?? ????,Positive
1313,?? ???? ?????? ?????? ??? ????,Positive
1314,?? ??????,Positive
1315,?? ???? ??? ??? ??? ???????? ???? ???? ????? ????? ???? ??? ???? ?????? ??????? ????? ????,Negative
1316,?? ????? ??? ???????,Negative
1317,?? ?????,Negative
1318,?? ???? ????? ???? ???? ?????  ????? ???,Positive
1319,?? ???? ???? ?????,Negative
1320,?? ???? ???? ???? ???????,Positive
1321,?? ??? ????,Negative
1322,?? ????? ??,Negative
1323,?? ??? ??? 10 ????? ???? ?????,Negative
1324,"?? ??? ??????? ??? ???????? ??? ?????? ???? ?????? ?????? ????????? ??????? ???? ??? ??????? .",Negative
1325,?? ???? ?? ???,Negative
1326,?? ?? ?????? ???,Negative
1327,?? ??? ??? ?????? ??????,Positive
1328,?? ??? ???? ... ???? ??????? ?? ?????? .... ?????? ?????? !!!,Positive
1329,?? ??? ???? ?????? ???? ?????? ???? ????? ???? ???? ?????? ???? ???????? ?? ???? ???? ?? ???,Negative
1330,?? ??? ???? ???? ?????,Positive
1331,?? ??? ???? ????? ???,Positive
1332,?? ??? ???? ??? ??????? ??? ????,Positive
1333,?? ??? ???? ????? ???? ??? ??? ???????,Negative
1334,?? ????? ?? ??? ?????? ????????? ???? ??? ???? ?????????,Negative
1335,?? ?? ???? ?? ??????? ?????? ???? ?????,Positive
1336,?? ?? ???? ?? ?????,Positive
1337,?? ?? ???? ?? ??? ?????? ???? ?????,Positive
1338,?? ?? ???? ?????? ????? ????? ???????,Negative
1339,?? ???? ??,Positive
1340,?? ??? ??????? ????? ?? ???? ??? ??? ???? ?? ??? ??? ???? ???? ????? ???? ?? ??? ??? ???? ???? ???? ???? ??? ??? ?? ????? ??? ?????? ?? ???? ???? ?? ????? ????? ??? ??? ???? ??? ?? ??? ????? ????? ?? ????? ???? ????? ?? ????? ??????? ????? ???? ?????? ???? ?? ??? ?????? ?????????? ?? ???? ???????,Negative
1341,?? ?????? ?? ????? ?? ??? ???? ???? ???? ???,Negative
1342,??????? ??? ??? ????? ????? ?????? ??????,Negative
1343,??? ?? ?????? ???? ???????? ?? ???? ??? ??????? ????? ??? ?? ????? ????,Negative
1344,????? ???? ?????? ?? ???? ?? ???? ??? ????? ??? ?? ??????? ?? ???? ?? ???? ???,Positive
1345,????? ?? ??? ??? ????,Positive
1346,????? ???? ????? ??? ????? ??? ??? ?????? ????? ?????? ?? ??????,Positive
1347,???? ??? ??? ??? ??? ??? ?? ??? ?????? ?????,Negative
1348,?????? ???,Negative
1349,???? ???? ?? ???? ???? ??? ???? ??? ???? ?? ??? ?? ????? ???? ????,Positive
1350,?????? ?? ??? ?? ????,Positive
1351,???? ??? ????,Negative
1352,???? ??? ??? ?????? ?????? ??? ????? ??? ?????? ?????? ??????? ?????,Negative
1353,?????? ?? ??? ?????? ??? ????,Negative
1354,?????? ? ????? ????,Negative
1355,????????,Negative
1356,????? ?????,Positive
1357,???? ??????,Negative
1358,?? ????? ???? ???????? ????? ???????? ?????? ???????? ???????,Negative
1359,?????? ?????? ??? ???? ??? ??? ?? ?? ???? ??? ?????? ???? ??? ????? ???? ???? ?? ???? ?? ?????? ?? ???? ???? ???,Positive
1360,????? ???? ????? ????? ????? ???? ?? ???? ???,Negative
1361,?????? ???? ???????? ????,Negative
1362,????? ?????,Negative
1363,??? ?? ???? ?????? ?????? ????? ?????? ??? ?????? ?? ?? ???,Negative
1364,??? ??? ??? 2050 ???? ???? ???? ?? ?????? ?????? ????,Negative
1365,???? ???? ??? ???? ??? ?? ???? ????? ???????,Positive
1366,??? ??????? ?? ??????? ??? ???? ??? ? ?? ????? ??????? ?? ?? ???? ???? ?? ??? ???? ????? ?? ????? ?????,Positive
1367,?????? ??? ???? ???? ????? ????? ?????,Negative
1368,?????? ?????,Negative
1369,????? ????? ???,Negative
1370,?????? ????,Negative
1371,?????? ?? ??? ?????? ???? ????? ?????? ?? ????? ??? ??? ???????,Positive
1372,??????? ????? ????? ???? ??? ??????? ??? ??????? ,Negative
1373,???? ????,Negative
1374,???? ??? ??????,Negative
1375,?????? ?? ?????,Negative
1376,?????? ??? ???? ??? ?? ??? ???? ??? ?????,Negative
1377,????? ?????,Negative
1378,???? ??? ?????,Negative
1379,?? ?????? ?? ??? ??? ???? ??????? ???? ??????? ????????? ?? ???? ????? ??? ??? ??????? ?? ???????,Negative
1380,?? ???? ???? ??? ?? ?????,Negative
1381,?? ???? ?????? ?? ?????? ????? ?? ???? ????? ??? ????? ?? ???? ??? ??????? ????????? ????? ????? ?? ?????,Negative
1382,?? ????? ????? ???? ?? ?? ????? ??? ?????? ??? ???????? ??????? ????,Negative
1383,?? ????? ????? ??? ?? ???,Negative
1384,?? ???? ??? ????? ????? ?? ?????,Negative
1385,?? ???? ??? ????? ??????? ????? ?? ???????? ????? ??? ????,Negative
1386,?? ???? ??? ??????? ??? ??? ????? ???? ???? ????? ???? ????? ?? ?????,Positive
1387,?? ???? ???? ???? ???? ??? ?????,Negative
1388,?? ?? ?????,Negative
1389,?? ?? ??? ??? ???? ?? ??? ?????????,Negative
1390,???? ???? ?? ????? ???? ???? ??????? ???,Negative
1391,????? ????,Negative
1392,?????? ?? ??? ????? ????? ??? ???? ?????? ????? ???? ??? ??? ???? ????? ?????? ????? ???? ??????? ???? ???,Positive
1393,????? ????? ??? ??? ?????? ??????,Positive
1394,?? ???? ??????  ?????? ?????????? ??????????? ?? ???? ?? ??? ?????,Negative
1395,?? ??? ????? ???? ??????? ?? ????,Negative
1396,????? ???? ???? ???? ??????? ???? ???????? ??????,Negative
1397,????? ???? ???? ??????,Negative
1398,???? ????? ????? ?????? ?????? ????? ??????? ??? ??? ????? ??? ?????? ???,Negative
1399,??? ??,Positive
1400,???? ?? ????? ???? ?? ???? ???? ???? ??? ?????? ??????? ?? ???? ??????,Positive
1401,?????? ??????,Positive
1402,???? ???? ?? ?? ??????? ????? ??? ??????,Positive
1403,???? ???? ??? ???? ?? ????,Positive
1404,????? ??? ????? ?? ???? ?? ????,Negative
1405,???? ???? ????? ???? ?????? ???? ??????? ??????,Positive
1406,???? ??? ??? ?????,Negative
1407,?????? ?????? ?? ?????? ?????,Negative
1408,????? ???????? ????????,Negative
1409,????? ?????,Negative
1410,????? ????? ????? ????? ?? ??????,Negative
1411,???? ???? ???? ????????,Positive
1412,?? ??? ??? ?? ???? ?? ??? ?? ????? ????????,Negative
1413,?? ???? ???? ??? ?? ????,Positive
1414,?? ????? ?????? ???????? ??????? ??? ?????: ????? ?????? ????????? ????????? ???????? ???????? ????????,Positive
1415,?? ?????? ????? ?????????? ?????? ??? ????????? ???? ????? ?? ???? ???????,Negative
1416,?? ??? ???? ????? ??? ??????? ????,Negative
1417,"?? ??? ????? ??????? ??????? ?? ???????? ??????? ??????? ????? ??????? ??? ?? ?? ????? ??????? ????? ?????????? ??? ????? ??????",Negative
1418,?? ??? ??? ?????? ?????? ??????? ?????? ??? ????? ??? ??? ????? ???? ????? ?? ?????? ??????? ????? ??? ????? ??????? ??????? ???? ???? ?? ??? ????? ?? ??? ?????? ??? ????? ????? ??????? ??????? ?????? ???? ??? ?? ??????? ????????? ?? ?????? ???? ?? ???? ??????? ??????? ????? ??????? ?????? ????? ???????? ?????? ?????? ???????? ?????? ????? ?? ??? ???????? ?????????? ?????????? ?????????? ???  ??????? ?????? ????? ????? ???? ???? ???? ???? ???????? ??????????? ?????????? ???? ???????? ??? ???? ????? ????????? ??????? ????? ????? ???? ??? ??????? ??????? ????? ????? ?????? ????? ??? ???? ???? ????? ???? ????? ?????? ????? ??? ??????? ?? ??????? ?????? ??????? ??? ???? ?? ??? ????? ??? ?? ??????? ?? ?????? ?????? ???? ??? ?? ????? ???? ??? ???? ?????? ??????? ??????? ??????? ????? ??? ???? ??????? ??????? ??????? ??? ???????? ??????? ?? ??? ???? ?? ??????,Negative
1419,?? ???? ?? ???????? ?? ???? ???,Positive
1420,?? ??? ???? ??? ???? ???? ???? ???,Positive
1421,?? ??? ???? ??? ???? ???? ???? ??????? ?? ????,Positive
1422,?? ???? ??? ???? ????? ???? ????? ??????,Positive
1423,?? ?? ???? ?????,Negative
1424,?? ?? ?????,Negative
1425,?? ?? ??? ? ?? ??? ??? ????? ???,Positive
1426,?? ??? ??????? ?? ?? ????,Positive
1427,?? ???? ????,Positive
1428,?? ???? ?? ??? ??????? ?????? ,Negative
1429,?? ??? ???? ?????? ???? ???,Negative
1430,?? ??? ????? ??? ???????,Negative
1431,?? ???? ?? ????? ?? ???? ??? ??? ????? ?? ???? ????  ????? ???? ??? ????,Positive
1432,?? ??? ????? ???? ?????,Negative
1433,?? ???? ???? ???? ?? ?????,Positive
1434,?? ????? ??? ???? ??? ????,Positive
1435,?? ?????? ????? ????? ?? ????? ????? ??? ???? ??? ???? ???? ????? ?????,Negative
1436,?? ??? ???? ???? ????? ???? ??? ???,Negative
1437,???? ??? ??? ?????? ?? ????? ???? ????? ??????? ??? ?????? ??? ???? ????? ???? ?? ??? ?????? ???? ?? ???? ??? ?? ????? ?? ??? ?? ??? ?? ???? ?? ??? ???? ??????? ?? ????? ???????? ??? ???,Negative
1438,???? ???,Negative
1439,????? ???????,Negative
1440,????? ????? ??????,Negative
1441,??? ???? ?? ????? ????? ?????? ??? ??????? ????? ???? ?????? ???? ???? ????? ??? ?? ????,Negative
1442,???? ?????? ?? ??? ???? ????? ????? ??? ???? ????,Negative
1443,????? ???? ?? ????,Positive
1444,?????? ?????? ?? ??????? ?? ??? ?????,Negative
1445,????? ?????? ?? ????? ???? ???,Negative
1446,??? ???? ???? ????? ????? ?? ??????? ????,Negative
1447,??? ???? ?????? ??? ??? ????  ?? ??? ???? ????? ?????? ??????? ?????? ??? ?????? ?? ??????? ????? ??? ?????? ???? ???? ???? ????? ?? ??????  ?????? ??? ????? ?????? ???? ????? ??? ????? ??? ??? ??????? ?? ???? ????? ????? ??,Negative
1448,??? ??? ??? ???????? ?? ?????? ?? ???? ???? ?????? ??? ??? ????? ??????,Negative
1449,??? ??? ??? ????? ??????? ????,Negative
1450,? ?????? ????? ????? ??????? ?? ???? ?? ?? ?? ????????? . ?????? ????? ??? ?????? ??????? ????? ?????? ? ?? ???? ??????? ?????? ?? ??????,Negative
1451,????? ?? ????? ?? ??? ????? ????? ??????? ?? ?????,Negative
1452,??? ???? ?????,Negative
1453,??? ??? ?????? ?????? ????,Negative
1454,??? ????? ?????? ??? ??? ???? ???? ???????? ??????,Positive
1455,??? ????? ?? ?????,Negative
1456,???? ? ???? ??? ?? ???????,Negative
1457,?? ???? ???? ????? ????? ?? ??? ????? ??? ????? ????? ???? ???? ????? ??? ,Negative
1458,???? ??? ?? ?? ?????? ?????? ????? ??? ???? ???? ???????,Negative
1459,???? ????? ???????? ?? ???,Positive
1460,??? ??????? ?? ?????,Negative
1461,??? ?? ?????? ????? ??????? ?? ???????? ??????? ????? ??????  ???? ?????? ???? ???????? ??????? ?????? ??? ??? ???? ???? ??????,Negative
1462,??? ?? ??? ???? ??? ????? ????? ??? ?????,Negative
1463,??? ?? ???? ???? ???? ?? ????? ??????? ?????? ??? ?????? ??? ????? ???? ?????? ????? ????? ?????? ????? ?????? ????? ???? ??????? ?? ??? ????????? ?????? ??????? ???? ??????? ????? ?? ????? ??? ????? ??? ?????? ??????? ?????? ??????? ?? ????? ?? ????? ??? ???? ?? ?????? ???? ???????? ?? ????? ?????? ??? ???????,Negative
1464,??? ???? ?? ???? ???? ?? ???? ?????,Positive
1465,??? ???? ??????? ??????,Negative
1466,???? ?? ???? ?? ????? ?????? ??? ?? ??? ?? ????? ?? ???? ??? ?????? ???? ??? ???? ?????? ?????? ??? ???? ???? ??????? ???? ???? ????? ???? ???? ?????,Positive
1467,???? ???? ????? ???????,Positive
1468,???? ???? ????? ?? ???? ??? ????? ??? ?? ???? ??? ????? ???,Positive
1469,???? ??? ??? ???? ?????? ??? ????? ???? ????? ???? ?? ?????? ?????? ??? ?????? ???? ??? ?????? ??????,Positive
1470,????? ?????? ????? ????? ???? ??? ??? ????? ????? ????? ????? ?????? ??????? ????? ????? ????? ??? ????? ?????? ????? ??? ????? ?????,Positive
1471,?????? ??? ????,Negative
1472,????? ?????? ?? ?????? ??????? ??? ???????? ?????? ??????  ????_???????? ????? ???? ?? ???? ?? ??????? ? ?? ????? ???? ????? ,Negative
1473,"???? ?????? ?????? ??? ?? ???? ?? ???? ??????? ?????? ?? ??????? ??? ??????? ??? ?????? ??? ?????.",Negative
1474,??? ????? ????? ??? ?? ???? ??? ??? ???? ??? ???? ?????,Positive
1475,??? ????? ??? ???? ??????? ?????? ??????,Negative
1476,??? ???? ? ?????? ?????? ????,Positive
1477,??? ???? ??? ???? ????,Positive
1478,??? ?????? ?????,Positive
1479,"??? ???? ??? ???? ?? ?? ?????? ??????? ? ?????? ??????????? ???? ?????? ???? ??????? ? ???????????? ??? ??????? ????? ?? ?????",Positive
1480,??? ????? ??? ?????,Positive
1481,??? ?? ??????? ???? ???? ?? ??????,Positive
1482,??? ????? ?? ???? ?? ?????? ????? ????? ?? ????,Positive
1483,??? ??? ????? ???? ?? ???? ??? ?????,Negative
1484,??? ?????? ???,Positive
1485,???? ???? ???? ????? ??????,Positive
1486,???? ???? ?? ??? ??? ?? ??? ?????,Negative
1487,???? ??? ??? ???? ?? ???????,Negative
1488,??? ???? ?? ?? ?????,Positive
1489,???? ??????? ?????,Negative
1490,????? ????,Negative
1491,????? ??? ?????,Positive
1492,????? ????? ?????,Negative
1493,???? ?????? ?? ??? ?????? ????????,Negative
1494,??? ??? ???? ?????? ???? ???? ???? ??? ???? ?????,Negative
1495,??? ?????? ????? ???? ????? ??? ???????? ?? ????? ???? ???? ?????,Negative
1496,??? ??? ??? ?????? ?????,Negative
1497,???? ?????? ???????,Positive
1498,??? ????? ?? ????,Negative
1499,??? ??? ??? ????,Negative
1500,????? ?? ??? ?????? ?????? ?? ????? ???????? ?????? ??? ?? ??????,Positive
1501,???????? ????? ???? ???? ????? ???? ???? ??? ?? ???? ??? ????? ???,Negative
1502,??? ????? ?????? ??????,Positive
1503,??? ????? ??? ???? ????? ?? ???? ???????,Negative
1504,??? ???? ??? ??? ?????,Negative
1505,??? ????? ?? ??? ???????,Positive
1506,??? ???? ?????? ??? ????? ??? ????? ??????,Negative
1507,??? ???? ??? ???? ??? ?? ??? ????? ?????? ?????? ??? ?????? ????? ?????? ???? ???? ????? ??????,Negative
1508,??? ???? ????? ?? ???? ????? ???? ???? ???? ?????? ?? ???? ????,Negative
1509,??? ??? ????? ???? ??????? ?????? ?????? ???? ???? ?? ??????? ????,Negative
1510,??? ????? ????? ?????? ??????? ?? ???????,Negative
1511,??? ????? ???? ????? ????? ??? ?????? ????? ???????,Positive
1512,??? ??? ??? ????? ??? ?????? ?? ?????,Negative
1513,??? ??? ?? ???????? ??????? ???????? ????????? ??????? ?? ???? ??????,Negative
1514,??? ?? ???? ????? ?? ??????? ???????,Negative
1515,??? ??? ???? ?? ???? ?? ????? ?????,Negative
1516,??? ???? ??? ???? ????,Negative
1517,??? ?? ???? ?????? ????? ??? ???? ??????,Positive
1518,??? ?? ?????,Positive
1519,??? ?? ?????,Positive
1520,??? ???? ???? ????? ??? ???? ,Negative
1521,??? ??????? ???? ???? ??????? ???? ?????? ?? ??????? ???,Negative
1522,??? ???? ?? ?? ?????? ??? ???? ??? ????? ??????,Positive
1523,??? ????? ???? ?? ???????,Negative
1524,??? ????? ???? ???? ????? ?? ?????? ?????? ??? ???? ????,Negative
1525,??? ?? ????? ?????? ???????,Positive
1526,???? ?????? ???? ?? ????? ?? ???? ???,Negative
1527,???? ??????,Negative
1528,???? ?????? ??? ???,Negative
1529,?? ???? ?? ???? ????????? ??????,Negative
1530,?? ?? ???,Negative
1531,???? ????????,Positive
1532,?? ????? ?????????? ??????? ????? ????? ?? ?? ?????? ??????? ????? ?????,Negative
1533,?? ???? ?? ????? ????? ???? ??? ???? ?????? ??? ???? ?????? ????? ??? ????? ??? ??? ?????? ?? ?? ????? ??? ???????,Positive
1534,?? ???? ????? ????????? ??? ?? ??? ??????? ?????,Negative
1535,??? ???? ?? ?????,Negative
1536,?? ???? ????? ??????,Negative
1537,??? ?? ??? ?????? ?????? ?? ???? ??? ?????????? ???????? ?????? ??? ??? ?????,Negative
1538,??? ??? ????? ????? ?????? ???? ??? ?? ????? ?? ???????? ??? ????? ?? ???? ?????,Negative
1539,???? ??? ?? ?????? ??? ??????? ??? ???? ???? ???? ????,Negative
1540,?? ?? ???? ????? ??????? ?? ????? ????? ?????? ?????,Negative
1541,?? ???? ??? ??? ?? ????? ?? ?????? ????? ?? ???? ????????,Positive
1542,?? ?? ?? ????? ??? ?????? ???? ?? ??? ???? ?????,Negative
1543,?? ??? ????? ???? ?? ???????? ????? ????? 16 ??? ????? ????? ???? ???? ???? ?? ??????,Negative
1544,?? ??? ?????? ?? ????,Negative
1545,????? ??????,Negative
1546,?? ????? ??? ??? ?? ????? ????? ??? ?????,Negative
1547,?? ?????? ???? ?? ???? ?? ???? ??????? ???? ???? ????? ???????,Negative
1548,??? ???? ?????? ????? ????? ??????? ????????,Negative
1549,? ??? ????? ??? ?? ???? ?? ????? ????? ??????,Negative
1550,? ????? ????? ?? ???? ???? ?? ???? ??? ??????? ?? ?????? ??? ?????,Negative
1551,? ??? ????? ????? ????? ?????? ??????? :,Negative
1552,? ??? ????? ??????? ??? ????? ??? ???,Positive
1553,? ???? ??? ?????? ?????? ???????? ???? ????? ????,Positive
1554,? ?? ?? ???? ?? ????? ?? ???? ???? ??????? ??? ??? ???? ????,Positive
1555,? ???? ???? ?? ???? ????,Positive
1556,? ???? ?? ???? ????? ?????? ?? ???? ?? ?????,Positive
1557,? ???? ??? ??? ????? ?????,Negative
1558,? ?????? ?? ??? ?? ??????,Positive
1559,???? ?? ???? ??????,Negative
1560,???? ????,Negative
1561,???? ????,Negative
1562,???? ????? ???? ???? ????? ??????? ????? ???? ????????,Negative
1563,????? ??? ??? ???? ??? ??? ?? ?????? ??? ????? ?? ??? ????,Positive
1564,????? ???? ?? ????? ????? ???? ????? ??? ?????? ?????? ??? ???? ?? ???? ???? ?? ??????? ???? ?? ????? ???? *,Positive
1565,???? ??? ?? ???? ????? ??? ????? ????? ?????,Negative
1566,???? ?????? ????? ????? ????? ???? ????? ???? ??? ???? ?????? ??????,Negative
1567,??????? ??? ????? ????,Positive
1568,??????? ??? ??? ?????? ?? ?? ?? ???? ?? ???? ????? ??????? ?????? ???????? ?? ????? ?????,Positive
1569,??????? ??? ???????? ???? ?????? ????,Negative
1570,????????? ?????? ??? ??? ??? ?????? ???? ???? ???? ????? ??? ?????? ?? ????? ?? ?? ??,Positive
1571,??????? ??? ?? ??? ????? ????? ?????,Negative
1572,????? ???? ??? ??? ?????? ????? ?? ????? ????? ???? ???? ???? ???? ?? ???? ??? ??? ????? ???? ????,Negative
1573,????? ?????? ???? ????? ??????,Negative
1574,????? ??????? ?? ????? ?? ????? ???? ???? ???? ??????? ????? ??? ???? ??????,Positive
1575,????? ????? ?? ?? ????? ?? ???? ????? ??? ????? ????? ?? ??????? ????,Negative
1576,????? ?????? ????? ????? ?? ???? ?????? ?? ???? ??????,Positive
1577,????? ??? ???? ??? ???? ??? ??? ??????,Negative
1578,????? ??? ???? ?????,Negative
1579,????? ??? ?? ???? ?? ??? ???? ??????? ?? ??? ???,Negative
1580,????? ??? ????? ?? ????,Negative
1581,????? ??? ?????,Negative
1582,????? ???? ?? ??????????,Negative
1583,????? ??? ??? ?????? ????? ??? ?????? ???????? ????? ????? ??????,Negative
1584,????? ??? ???,Negative
1585,????? ??? ???? ????? ???? ???? ?????? ???? ?? ???? ?? ????? ????? ??????,Negative
1586,????? ???? ????? ?????,Negative
1587,????? ??? ???? ??? ????? ????? ???? ?????? ?????? ???? ??? ??? ??? ???? ????,Positive
1588,????? ????? ?? ?????,Negative
1589,????? ??? ???? ?? ????? ???? ?? ????,Positive
1590,????? ???? ????? ?? ????? ???? ??? ????? ???????,Negative
1591,????? ???? ?????? ???? ???? ??????? ???? ???? ?? ?????,Negative
1592,????? ???? ????? ????? ???? ??????? ?? ??? ???? ???? ???? ?? ??? ?? ???? ????? ?? ?? ????? ?????? ?? ?? ?????? ???? ????,Negative
1593,????? ???? ???? ?? ????? ???? ?????,Negative
1594,????? ??? ?????? ?????,Negative
1595,????? ?????? ????? ?? ???? ???? ??????,Positive
1596,????? ????? ?? ???????? ??? ???? ???? ?? ?????? ??????,Negative
1597,????? ??? ?????? ???? ??? ?????? ?????? ??? ?????,Negative
1598,????? ???? ??? ??? ????? ??????? ????,Negative
1599,????? ????? ???? ????????,Negative
1600,????? ?????,Negative
1601,????? ??? ???? ?????,Negative
1602,????? ??? ?????? ?????,Negative
1603,????? ????? ?? ?????? ?? ????? ?? ??? ??? ???? ?? ????? ????,Positive
1604,????? ??? ?? ???? ???? ????? ???,Negative
1605,????? ?? ??? ???? ???? ????? ?? ?? ?? ????? ??????? ??? ????? ????? ??? ????? ????? ??? ??? ???? ????,Negative
